epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9746,1.13845,1.27049,1.04976,0.94353,0.88001,0.90154,0.60067,1.29312,1.78461,1.04846,0.00016,0.00016,0.00016
2,64.1819,1.09133,1.2383,0.98565,0.9894,0.89474,0.93029,0.61242,1.29151,1.73029,1.04898,0.000333268,0.000333268,0.000333268
3,99.0737,1.15852,1.25569,1.02079,1,0.89227,0.95524,0.6187,1.29182,1.67928,1.02249,0.000499408,0.000499408,0.000499408
4,127.156,1.03517,1.24165,0.95446,0.97744,0.78947,0.90828,0.5776,1.2943,1.87349,1.0892,0.00065842,0.00065842,0.00065842
5,154.451,1.09218,1.12745,0.9749,0.84115,0.94737,0.94799,0.56656,1.37173,1.6619,1.11771,0.000810304,0.000810304,0.000810304
6,183.564,1.08366,1.17759,0.99144,0.97347,0.84211,0.90347,0.55745,1.48519,1.645,1.14413,0.00095506,0.00095506,0.00095506
7,211.801,1.08396,1.13886,0.96923,0.94051,0.83259,0.8878,0.49239,1.5376,1.7394,1.23543,0.00109269,0.00109269,0.00109269
8,238.437,1.06391,1.09715,0.99972,0.89898,0.93714,0.96233,0.51579,1.4948,1.65523,1.13293,0.00122319,0.00122319,0.00122319
9,265.244,1.12187,1.12284,0.98861,0.85541,0.93463,0.96669,0.51647,1.64429,1.64641,1.16209,0.00134656,0.00134656,0.00134656
10,293.19,1.07864,1.15414,1.00504,0.93998,0.82501,0.95523,0.50262,1.74095,1.65941,1.26583,0.0014628,0.0014628,0.0014628
11,321.256,1.06283,1.11245,1.00222,0.93221,0.89474,0.96098,0.51492,1.52879,1.46295,1.23535,0.00157192,0.00157192,0.00157192
12,347.978,1.01503,1.10282,1.00869,0.99357,0.89474,0.96069,0.51312,1.60639,1.41266,1.29798,0.0015644,0.0015644,0.0015644
13,375.464,1.09209,1.12025,0.99044,0.94662,0.93382,0.97301,0.54643,1.57463,1.43287,1.23504,0.0015248,0.0015248,0.0015248
